,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,lyric
36,22,Red (Deluxe Edition),Taylor Swift,10/22/12,232120,64,0.661,0.00215,0.729,0.0013,0.0477,-6.561,0.0376,0.668,103.987,"It feels like a perfect night To dress up like hipsters And make fun of our exes, uh-uh, uh-uh It feels like a perfect night For breakfast at midnight To fall in love with strangers, uh-uh, uh-uh Yeah We're happy, free, confused, and lonely at the same time It's miserable and magical, oh, yeah Tonight's the night when we forget about the deadlines It's time, oh-oh I don't know about you, but I'm feeling 22 Everything will be alright if you keep me next to you You don't know about me, but I'll bet you want to Everything will be alright if we just keep dancing like we're 22, 22 It seems like one of those nights This place is too crowded Too many cool kids, uh-uh, uh-uh (Who's Taylor Swift, anyway? Ew) It seems like one of those nights We ditch the whole scene And end up dreaming Instead of sleeping Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified Yeah We're happy, free, confused, and lonely in the best way It's miserable and magical, oh, yeah Tonight's the night when we forget about the heartbreaks It's time, oh-oh (Hey!) I don't know about you, but I'm feeling 22 Everything will be alright (Ooh) if you keep me next to you You don't know about me, but I'll bet you want to Everything will be alright if (Alright) We just keep dancing like we're 22 (Oh, oh, oh, oh, oh) 22 (I don't know about you) 22, 22 It feels like one of those nights We ditch the whole scene It feels like one of those nights We won't be sleeping It feels like one of those nights You look like bad news I gotta have you I gotta have you Ooh, ooh, yeah (Hey!) I don't know about you, but I'm feeling 22 Everything will be alright if (Ooh) you keep me next to you You don't know about me, but I'll bet you want to Everything will be alright if we just keep dancing like we're 22 (Whoa, oh) 22 (Dancing like) 22 (Yeah, yeah), 22, (Yeah, yeah, yeah) It feels like one of those nights We ditch the whole scene It feels like one of those nights We won't be sleeping It feels like one of those nights You look like bad news I gotta have you I gotta have you"
37,i almost do,Red (Deluxe Edition),Taylor Swift,10/22/12,244560,61,0.567,0.0173,0.481,4.13e-05,0.182,-7.357,0.027,0.233,145.865,"I bet this time of night, you’re still up I bet you’re tired from a long hard week I bet you’re sittin' in your chair by the window Looking out at the city, and I bet Sometimes you wonder 'bout me And I just wanna tell you It takes everything in me not to call you And I wish I could run to you And I hope you know that Every time I don’t, I almost do, I almost do I bet you think I either moved on or hate you ‘Cause each time you reach out, there’s no reply I bet it never, ever occurred to you That I can’t say hello to you and risk another goodbye And I just wanna tell you It takes everything in me not to call you And I wish I could run to you And I hope you know that Every time I don’t, I almost do, I almost do Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified Oh, we made quite a mess, babe It’s probably better off this way And I confess, babe In my dreams, you’re touching my face And asking me if I want to try again with you And I almost do And I just wanna tell you It takes everything in me not to call you And I wish I could run to you And I hope you know that Every time I don’t, I almost do, I almost do I bet this time of night, you’re still up I bet you’re tired from a long hard week I bet you’re sittin' in your chair by the window Looking out at the city, and I hope Sometimes you wonder 'bout me"
38,we are never ever getting back together,Red (Deluxe Edition),Taylor Swift,10/22/12,193146,65,0.628,0.00957,0.676,2.65e-05,0.121,-5.911,0.0916,0.75,85.984,"I remember when we broke up the first time Saying, ""This is it, I've had enough,"" 'cause like We hadn't seen each other in a month When you said you needed space (What?) Then you come around again and say ""Baby, I miss you and I swear I'm gonna change, trust me"" Remember how that lasted for a day? I say, ""I hate you,"" we break up, you call me, I love you Ooh-ooh-ooh-ooh-ooh We called it off again last night, but Ooh-ooh-ooh-ooh-ooh This time, I'm telling you, I'm telling you We are never, ever, ever getting back together We are never, ever, ever getting back together You go talk to your friends, talk to my friends, talk to me But we are never, ever, ever, ever Getting back together Like, ever I'm really gonna miss you picking fights And me falling for it, screaming that I'm right And you would hide away and find your peace of mind With some indie record that's much cooler than mine Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified Ooh-ooh-ooh-ooh-ooh You called me up again tonight, but Ooh-ooh-ooh-ooh-ooh This time, I'm telling you, I'm telling you We (We) are never, ever, ever getting back together We are never, ever, ever getting back together You go talk to your friends, talk to my friends, talk to me (Talk to me) But we are never, ever, ever, ever Getting back together Ooh-ooh-ooh-ooh-ooh (Yeah) Ooh-ooh-ooh-ooh-ooh-ooh (Yeah) Ooh-ooh-ooh-ooh-ooh (Yeah) Oh-oh-oh I used to think that we were forever, ever And I used to say, ""Never say never"" Ugh, so he calls me up and he's like, ""I still love you"" And I'm like, ""I just, I mean, this is exhausting, you know? Like, we are never getting back together, like, ever"" (No) We are never, ever, ever getting back together We are never, ever, ever (Ooh) getting back together You go talk to your friends, talk to my friends, talk to me But we are never, ever, ever, ever Getting back together We (Ooh-ooh-ooh-ooh-ooh, ooh-ooh-ooh, no) Getting back together We (Ooh-ooh-ooh-ooh-ooh, oh, oh) Getting back together (Yeah) You go talk to your friends, talk to my friends, talk to me (Talk to me) But we are never, ever, ever, ever Getting back together"
39,stay stay stay,Red (Deluxe Edition),Taylor Swift,10/22/12,205853,60,0.729,0.307,0.748,1.29e-06,0.0962,-6.67,0.0245,0.928,99.981,"I'm pretty sure we almost broke up last night I threw my phone across the room, at you I was expecting some dramatic turn away But you stayed This morning, I said we should talk about it 'Cause I read you should never leave a fight unresolved That's when you came in wearing a football helmet And said, ""Okay, let's talk"" And I said Stay, stay, stay I've been loving you for quite some time, time, time You think that it's funny when I'm mad, mad, mad But I think that it's best if we both stay Before you, I'd only dated self-indulgent takers Who took all of their problems out on me But you carry my groceries and now I'm always laughing And I love you because you have given me No choice but to Stay, stay, stay I've been loving you for quite some time, time, time You think that it's funny when I'm mad, mad, mad But I think that it's best if we both stay, stay, stay, stay You took the time to memorize me My fears, my hopes, and dreams I just like hanging out with you, all the time All those times that you didn't leave, it's been occurring to me I'd like to hang out with you, for my whole life Stay, and I'll be loving you for quite some time No one else is gonna love me when I get mad, mad, mad So I think that it's best if we both stay, stay Stay, stay, stay, stay! Stay, stay, stay I've been loving you for quite some time, time, time You think that it's funny when I'm mad, mad, mad But I think that it's best if we both stay, stay Stay, stay, stay, stay! Stay, stay, stay I've been loving you for quite some time, time, time You think that it's funny when I'm mad, mad, mad But I think that it's best if we both stay (Ha-ha-ha, it's so fun)"
40,the last time,Red (Deluxe Edition),Taylor Swift,10/22/12,299013,61,0.505,0.035,0.443,3.15e-06,0.0906,-7.039,0.0276,0.123,94.069,"Find myself at your door Just like all those times before I’m not sure how I got there All roads they lead me here I imagine you are home In your room, all alone And you open your eyes into mine And everything feels better And right before your eyes I'm breaking, no past No reasons why Just you and me This is the last time I'm asking you this Put my name at the top of your list This is the last time I'm asking you why You break my heart in the blink of an eye (Eye, eye) You find yourself at my door Just like all those times before You wear your best apology But I was there to watch you leave And all the times I let you in Just for you to go again Disappear when you come back Everything is better And right before your eyes I'm aching, run fast Nowhere to hide Just you and me This is the last time I'm asking you this Put my name at the top of your list This is the last time I'm asking you why You break my heart in the blink of an eye (Eye, eye) This is the last time you tell me I've got it wrong This is the last time I say it's been you all along This is the last time I let you in my door This is the last time, I won't hurt you anymore Oh-ho, oh-ho, oh-ho, oh-ho Oh-ho, oh-ho, oh-ho, oh-ho This is the last time I'm asking you this Put my name at the top of your list This is the last time I'm asking you why You break my heart in the blink of an eye This is the last time I'm asking you this (This is the last time I'm asking you this) Put my name at the top of your list (Put my name at the top of your list) This is the last time I'm asking you why (This is the last time I'm asking you why) You break my heart in the blink of an eye (You break my heart) This is the last time I'm asking you, last time I'm asking you Last time I'm asking you this This is the last time I'm asking you, last time I'm asking you Last time I'm asking you this This is the last time I'm asking you, last time I'm asking you Last time I'm asking you this This is the last time I'm asking you, last time I'm asking you Last time I'm asking you this"
41,holy ground,Red (Deluxe Edition),Taylor Swift,10/22/12,202960,61,0.627,0.0162,0.816,0.00208,0.0965,-6.698,0.0774,0.648,157.043,"I was reminiscing just the other day While having coffee all alone, and Lord, it took me away Back to a first-glance feeling on New York time Back when you fit in my poems like a perfect rhyme Took off faster than a green light, go Hey, you skip the conversation when you already know I left a note on the door with a joke we'd made And that was the first day And darling, it was good Never looking down And right there where we stood Was holy ground Spinning like a girl in a brand new dress We had this big wide city all to ourselves We blocked the noise with the sound of, ""I need you"" And for the first time, I had something to lose And I guess we fell apart in the usual way And the story's got dust on every page But sometimes, I wonder how you think about it now And I see your face in every crowd Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified 'Cause darling, it was good Never looking down And right there where we stood Was holy ground Tonight, I'm gonna dance For all that we've been through But I don't wanna dance If I'm not dancing with you Tonight, I'm gonna dance Like you were in this room But I don't wanna dance If I'm not dancing with you It was good Never looking down And right there where we stood Was holy ground Tonight, I'm gonna dance For all that we've been through But I don't wanna dance If I'm not dancing with you Tonight, I'm gonna dance Like you were in this room But I don't wanna dance If I'm not dancing with you"
42,sad beautiful tragic,Red (Deluxe Edition),Taylor Swift,10/22/12,284866,59,0.624,0.632,0.34,0.0337,0.0805,-12.411,0.029,0.261,129.987,"Long handwritten note, deep in your pocket Words, how little they mean, when you're a little too late I stood right by the tracks, your face in a locket Good girls, hopeful they'll be and long they will wait We had a beautiful magic love affair What a sad, beautiful, tragic love affair In dreams, I meet you in warm conversation We both wake in lonely beds, different cities And time is taking its sweet time erasing you And you've got your demons And darling, they all look like me 'Cause we had a beautiful magic love there What a sad, beautiful, tragic love affair Distance, timing, breakdown, fighting Silence, the train runs off its tracks Kiss me, try to fix it, could you just try to listen? Hang up, give up, and for the life of us we can't get back A beautiful magic love there What a sad, beautiful, tragic, beautiful, tragic, beautiful Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified Nardo Wick 'Who Want Smoke??' (Live Performance) | Open Mic Kiana Ledé 'Ur Best Friend' Official Lyrics & Meaning | Verified What we had, a beautiful magic love there What a sad, beautiful, tragic, love affair We had a beautiful magic love there What a sad, beautiful, tragic love affair"
43,the lucky one,Red (Deluxe Edition),Taylor Swift,10/22/12,240266,60,0.706,0.0371,0.499,0.0,0.132,-7.675,0.0369,0.545,117.937,"New to town with a made up name In the angel's city, chasing fortune and fame And the camera flashes make it look like a dream You had it figured out since you were in school Everybody loves pretty, everybody loves cool So overnight, you look like a sixties queen Another name goes up in lights Like diamonds in the sky And they’ll tell you now, you’re the lucky one Yeah, they’ll tell you now, you’re the lucky one But can you tell me now, you’re the lucky one? Oh, oh, oh Now, it’s big black cars and Riviera views And your lover in the foyer doesn’t even know you And your secrets end up splashed on the news front page And they tell you that you’re lucky, but you’re so confused 'Cause you don’t feel pretty, you just feel used And all the young things line up to take your place Another name goes up in lights You wonder if you’ll make it out alive And they’ll tell you now, you’re the lucky one Yeah, they’ll tell you now, you’re the lucky one But can you tell me now, you’re the lucky one? Oh, oh, oh It was a few years later, I showed up here And they still tell the legend of how you disappeared How you took the money and your dignity, and got the hell out They say you bought a bunch of land somewhere Chose the rose garden over Madison Square And it took some time, but I understand it now ‘Cause now my name is up in lights But I think you got it right Let me tell you now, you’re the lucky one Let me tell you now, you’re the lucky one Let me tell you now, you’re the lucky one, oh, oh, oh And they’ll tell you now, you’re the lucky one Yeah, they’ll tell you now, you’re the lucky one And they’ll tell you now, you’re the lucky one, oh, oh, oh Oh, whoa, oh, oh"
44,everything has changed,Red (Deluxe Edition),Taylor Swift,10/22/12,245413,62,0.624,0.36,0.458,3.89e-06,0.311,-6.755,0.0287,0.436,80.016,"All I knew this morning when I woke Is I know something now Know something now I didn't before And all I've seen since 18 hours ago Is green eyes and freckles and your smile In the back of my mind, making me feel like I just wanna know you better Know you better, know you better now I just wanna know you better Know you better, know you better now I just wanna know you better Know you better, know you better now I just wanna know you, know you, know you 'Cause all I know is we said, ""Hello"" And your eyes look like coming home All I know is a simple name Everything has changed All I know is you held the door You'll be mine and I'll be yours All I know since yesterday Is everything has changed And all my walls stood tall, painted blue And I'll take 'em down, take 'em down And open up the door for you And all I feel in my stomach is butterflies The beautiful kind, making up for lost time Taking flight, making me feel right I just wanna know you better Know you better, know you better now I just wanna know you better Know you better, know you better now I just wanna know you better Know you better, know you better now I just wanna know you, know you, know you 'Cause all I know is we said, ""Hello"" And your eyes look like coming home All I know is a simple name Everything has changed All I know is you held the door You'll be mine and I'll be yours All I know since yesterday Is everything has changed Come back and tell me why I'm feeling like I've missed you all this time And meet me there tonight And let me know that it's not all in my mind I just wanna know you better Know you better, know you better now I just wanna know you, know you, know you 'Cause all I know is we said, ""Hello"" And your eyes look like coming home All I know is a simple name Everything has changed All I know is you held the door You'll be mine and I'll be yours All I know since yesterday Is everything has changed All I know is we said, ""Hello"" So dust off your highest hopes All I know is pouring rain And everything has changed All I know is a new found grace All my days, I'll know your face All I know since yesterday Is everything has changed"
45,starlight,Red (Deluxe Edition),Taylor Swift,10/22/12,220600,58,0.649,0.0213,0.777,0.000335,0.21,-5.804,0.0406,0.587,126.018,"I said, ""Oh, my, what a marvelous tune"" It was the best night, never would forget how we moved The whole place was dressed to the nines And we were dancing, dancing Like we're made of starlight Like we're made of starlight I met Bobby on the boardwalk, summer of '45 Picked me up, late one night at the window We were 17 and crazy, running wild, wild Can't remember what song it was playing when we walked in The night we snuck into a yacht club party Pretending to be a duchess and a prince And I said, ""Oh, my, what a marvelous tune"" It was the best night, never would forget how we moved The whole place was dressed to the nines And we were dancing, dancing Like we're made of starlight, starlight Like we're made of starlight, starlight He said, ""Look at you Worrying so much about things you can't change You'll spend your whole life singing the blues If you keep thinking that way"" He was trying to skip rocks on the ocean, saying to me ""Don't you see the starlight, starlight? Don't you dream impossible things?"" Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified Like, ""Oh, my, what a marvelous tune"" It was the best night, never would forget how we moved The whole place was dressed to the nines And we were dancing, dancing Like we're made of starlight, starlight Like we're made of starlight, starlight Ooh, ooh, he's talking crazy Ooh, ooh, dancing with me Ooh, ooh, we could get married Have ten kids and teach 'em how to dream Oh, my, what a marvelous tune It was the best night, never would forget how we moved The whole place was dressed to the nines And we were dancing, dancing Like we're made of starlight, starlight Like we're made of starlight, starlight Like we're made of starlight, starlight Like we dream impossible dreams Like starlight, starlight Like we dream impossible dreams Don't you see the starlight, starlight? Don't you dream impossible things?"
46,begin again,Red (Deluxe Edition),Taylor Swift,10/22/12,239426,60,0.53,0.199,0.526,3.52e-06,0.14,-8.349,0.0263,0.323,79.025,"Took a deep breath in the mirror He didn't like it when I wore high heels, but I do Turn the lock and put my headphones on He always said he didn't get this song but I do, I do Walked in, expecting you'd be late But you got here early and you stand and wave I walk to you You pull my chair out and help me in And you don't know how nice that is, but I do And you throw your head back laughing like a little kid I think it's strange that you think I'm funny 'cause he never did I've been spending the last eight months Thinking all love ever does is break and burn and end But on a Wednesday in a café, I watched it begin again You said you never met one girl who Had as many James Taylor records as you, but I do We tell stories and you don't know why I'm coming off a little shy, but I do But you throw your head back laughing like a little kid I think it's strange that you think I'm funny 'cause he never did I've been spending the last eight months Thinking all love ever does is break and burn and end But on a Wednesday in a café, I watched it begin again And we walked down the block to my car And I almost brought him up But you start to talk about the movies That your family watches every single Christmas And I want to talk about that And for the first time, what's past is past 'Cause you throw your head back laughing like a little kid I think it's strange that you think I'm funny 'cause he never did I've been spending the last eight months Thinking all love ever does is break and burn and end But on a Wednesday in a café, I watched it begin again But on a Wednesday in a café, I watched it begin again"
47,the moment i knew,Red (Deluxe Edition),Taylor Swift,10/22/12,286613,58,0.619,0.187,0.506,1.47e-05,0.101,-7.327,0.0315,0.274,126.03,"You should've been there Should've burst through the door With that ""Baby, I'm right here"" smile And it would've felt like A million little shining stars had just aligned And I would've been so happy Christmas lights glisten I've got my eye on the door Just waiting for you to walk in But the time is ticking People ask me how I've been As I comb back through my memory How you said you'd be here You said you'd be here And it was like slow motion Standing there in my party dress In red lipstick With no one to impress And they're all laughing As I'm looking around the room But there was one thing missing And that was the moment I knew And the hours pass by Now I just wanna be alone But your close friends always seem to know When there's something really wrong So they follow me down the hall And there in the bathroom I try not to fall apart And the sinking feeling starts As I say hopelessly ""He said he'd be here"" And it was like slow motion Standing there in my party dress In red lipstick With no one to impress And they're all laughing And asking me about you But there was one thing missing (missing) And that was the moment I knew What do you say When tears are streaming down your face In front of everyone you know? And what do you do When the one who means the most to you Is the one who didn't show? You should've been here And I would've been so happy And it was like slow motion Standing there in my party dress In red lipstick With no one to impress And they're all standing around me, singing ""Happy birthday to you"" But there was one thing missing And that was the moment I knew Oh-oh-oh-oh-oh-oh-oh, I knew Oh-oh-oh-oh-oh-oh-oh You called me later And said, ""I'm sorry I didn't make it"" And I said, ""I'm sorry, too"" And that was the moment I knew"
48,girl at home,Red (Deluxe Edition),Taylor Swift,10/22/12,220840,55,0.733,0.272,0.59,0.0,0.134,-5.86,0.0284,0.633,125.048,"Don't look at me, you got a girl at home And everybody knows that, everybody knows that, ah-ah Don't look at me, you got a girl at home And everybody knows that I don't even know her But I feel a responsibility to do what's upstanding and right It's kinda like a code, yeah And you've been getting closer and closer And crossing so many lines And it would be a fine proposition If I was a stupid girl But, honey, I am no one's exception This, I have previously learned So don't look at me, you got a girl at home And everybody knows that, everybody knows that, ah-ah Don't look at me, you got a girl at home And everybody knows that, everybody knows that I see you turn off your phone And now you've got me alone, and I say Don't look at me, you got a girl at home And everybody knows that, everybody knows that I just want to make sure You understand perfectly You're the kind of man who makes me sad While she waits up, you chase down the newest thing And take for granted what you have And it would be a fine proposition If I was a stupid girl And, yeah, I might go with it If I hadn't once been just like her So don't look at me, you got a girl at home And everybody knows that, everybody knows that, ah-ah Don't look at me, you got a girl at home And everybody knows that, everybody knows that I see you turn off your phone And now you've got me alone, and I say Don't look at me, you got a girl at home And everybody knows that, everybody knows that Oh-oh-oh, oh-oh-oh Oh-oh-oh, oh-oh-oh Call a cab, lose my number You're about to lose your girl Call a cab, lose my number Let's consider this lesson learned Don't look at me, you got a girl at home And everybody knows that, everybody knows that, ah-ah Don't look at me, you got a girl at home And everybody knows that, everybody knows that Want to see you pick up your phone And tell her you're coming home Don't look at me, you got a girl at home And everybody knows that, everybody knows that Don't look at me, you got a girl at home And everybody knows that, everybody knows that It would be a fine proposition If I hadn't once been just like her"
49,treacherous ,Red (Deluxe Edition),Taylor Swift,10/22/12,240266,53,0.828,0.175,0.64,6.14e-05,0.0991,-8.248,0.0355,0.519,109.993,"Put your lips close to mine As long as they don’t touch Out of focus, eye to eye Till the gravity’s too much And I’ll do anything you say If you say it with your hands And I’d be smart to walk away But you’re quicksand This slope is treacherous This path is reckless This slope is treacherous And I, I, I, like it I can’t decide if it’s a choice Getting swept away I hear the sound of my own voice Asking you to stay And all we are is skin and bone Trained to get along Forever going with the flow But you’re friction This slope is treacherous This path is reckless This slope is treacherous I, I, I, like it Two headlights shine through the sleepless night And I will get you, get you alone Your name has echoed through my mind And I just think you should Think you should know That nothing safe is worth the drive And I would follow you, follow you home I’ll follow you, follow you home This hope is treacherous This daydream is dangerous This hope is treacherous I, I, I I, I, I I, I, I Two headlights shine through the sleepless night And I will get you, get you alone Your name has echoed through my mind And I just think you should Think you should know That nothing safe is worth the drive And I would follow you, follow you home I’ll follow you, follow you home I’ll follow you, follow you home I’ll follow you, follow you home I’ll follow you, follow you home This slope is treacherous I, I, I, like it"
50,red ,Red (Deluxe Edition),Taylor Swift,10/22/12,227080,53,0.678,0.113,0.902,0.000235,0.0705,-4.659,0.0358,0.637,124.998,"Loving him is like Driving a new Maserati down a dead end street Faster than the wind, passionate as sin, ending so suddenly Loving him is like Trying to change your mind once you're already flying through the freefall Like the colors in autumn So bright, just before they lose it all Losing him was blue like I'd never known Missing him was dark grey, all alone Forgetting him was like trying to know somebody you've never met But loving him was red Loving him was red Touching him was like Realizing all you ever wanted was right there in front of you Memorizing him was as Easy as knowing all the words to your old favorite song Fighting with him was like Trying to solve a crossword and realizing there's no right answer Regretting him was like Wishing you never found out that love could be that strong Losing him was blue like I'd never known Missing him was dark grey, all alone Forgetting him was like trying to know somebody you've never met But loving him was red Oh, red Burning red Remembering him comes in flashbacks and echoes Tell myself it's time now, gotta let go But moving on from him is impossible When I still see it all in my head In burning red Burning, it was red Losing him was blue like I'd never known Missing him was dark grey, all alone Forgetting him was like trying to know somebody you never met 'Cause loving him was red Yeah, yeah, red We're burning red And that's why he's spinning 'round in my head Burning red, burning red His love was like Driving a new Maserati down a dead end street"
51,state of grace ,Red (Deluxe Edition),Taylor Swift,10/22/12,323080,55,0.626,0.664,0.118,0.000169,0.127,-15.91,0.0305,0.0682,105.597,"I'm walking fast through the traffic lights Busy streets and busy lives And all we know is touch and go We are alone with our changing minds We fall in love till it hurts or bleeds, or fades in time And I never saw you coming And I’ll never be the same You come around and the armor falls Pierce the room like a cannon ball Now all we know, is don’t let go We are alone just you and me Up in your room and our slates are clean Just twin fire signs, four blue eyes So you were never a saint And I've loved in shades of wrong We learn to live with the pain Mosaic broken hearts But this love is brave and wild And I never saw you coming And I’ll never be the same This is a state of grace This is the worthwhile fight Love is a ruthless game Unless you play it good and right These are the hands of fate You’re my Achilles heel This is the golden age of something good And right and real And I never saw you coming And I’ll never be the same And I never saw you coming And I’ll never be the same This is a state of grace This is a worthwhile fight Love is a ruthless game Unless you play it good and right"
52,welcome to new york,1989 (Deluxe),Taylor Swift,1/1/14,212600,58,0.789,0.0348,0.634,1.64e-06,0.302,-4.762,0.0323,0.658,116.992,"Walking through a crowd, the village is aglow Kaleidoscope of loud heartbeats under coats Everybody here wanted something more Searching for a sound we hadn't heard before And it said Welcome to New York, it's been waiting for you Welcome to New York, welcome to New York Welcome to New York, it's been waiting for you Welcome to New York, welcome to New York It's a new soundtrack, I could dance to this beat, beat, forevermore The lights are so bright but they never blind me, me Welcome to New York, it's been waiting for you Welcome to New York, welcome to New York When we first dropped our bags on apartment floors Took our broken hearts, put them in a drawer Everybody here was someone else before And you can want who you want Boys and boys and girls and girls Welcome to New York, it's been waiting for you Welcome to New York, welcome to New York Welcome to New York, it's been waiting for you Welcome to New York, welcome to New York It's a new soundtrack, I could dance to this beat, beat, forevermore The lights are so bright, but they never blind me, me Welcome to New York (New York), it's been waiting for you Welcome to New York, welcome to New York Like any great love, it keeps you guessing Like any real love, it's ever-changing Like any true love, it drives you crazy But you know you wouldn't change anything, anything, anything Welcome to New York, it's been waiting for you Welcome to New York, welcome to New York Welcome to New York, it's been waiting for you Welcome to New York, welcome to New York It's a new soundtrack, I could dance to this beat The lights are so bright, but they never blind me Welcome to New York (New soundtrack) It's been waiting for you Welcome to New York The lights are so bright but they never blind me Welcome to New York So bright, they never blind me Welcome to New York Welcome to New York"
53,blank space,1989 (Deluxe),Taylor Swift,1/1/14,231826,82,0.76,0.103,0.703,0.0,0.0913,-5.412,0.054,0.57,95.997,"Nice to meet you, where you been? I could show you incredible things Magic, madness, heaven, sin Saw you there, and I thought ""Oh my God, look at that face You look like my next mistake Love's a game, wanna play?"" Ayy New money, suit and tie I can read you like a magazine Ain't it funny? Rumors fly And I know you heard about me So hey, let's be friends I'm dyin' to see how this one ends Grab your passport and my hand I can make the bad guys good for a weekend So it's gonna be forever Or it's gonna go down in flames You can tell me when it's over, mm If the high was worth the pain Got a long list of ex-lovers They'll tell you I'm insane 'Cause you know I love the players And you love the game 'Cause we're young and we're reckless We'll take this way too far It'll leave you breathless, hmm Or with a nasty scar Got a long list of ex-lovers They'll tell you I'm insane But I've got a blank space, baby And I'll write your name Joeboy 'Sip (Alcohol)' Official Lyrics & Meaning | Verified Cherry lips, crystal skies I could show you incredible things Stolen kisses, pretty lies You're the King, baby, I'm your Queen Find out what you want Be that girl for a month Wait, the worst is yet to come Oh, no Screaming, crying, perfect storms I can make all the tables turn Rose garden filled with thorns Keep you second guessin' like ""Oh my God, who is she?"" I get drunk on jealousy But you'll come back each time you leave 'Cause, darling, I'm a nightmare dressed like a daydream So it's gonna be forever Or it's gonna go down in flames You can tell me when it's over, mm If the high was worth the pain Got a long list of ex-lovers They'll tell you I'm insane 'Cause you know I love the players And you love the game 'Cause we're young and we're reckless We'll take this way too far It'll leave you breathless, hmm Or with a nasty scar Got a long list of ex-lovers They'll tell you I'm insane But I've got a blank space, baby And I'll write your name Boys only want love if it's torture Don't say I didn't, say I didn't warn ya Boys only want love if it's torture Don't say I didn't, say I didn't warn ya So it's gonna be forever Or it's gonna go down in flames You can tell me when it's over, mm If the high was worth the pain Got a long list of ex-lovers They'll tell you I'm insane 'Cause you know I love the players And you love the game 'Cause we're young and we're reckless We'll take this way too far It'll leave you breathless, hmm Or with a nasty scar Got a long list of ex-lovers They'll tell you I'm insane But I've got a blank space, baby And I'll write your name"
54,style,1989 (Deluxe),Taylor Swift,1/1/14,231000,75,0.588,0.00245,0.791,0.00258,0.118,-5.595,0.0402,0.487,94.933,"Midnight You come and pick me up, no headlights A long drive Could end in burning flames or paradise Fade into view, oh It's been a while since I have even heard from you (Heard from you) And I should just tell you to leave, 'cause I Know exactly where it leads, but I Watch us go 'round and 'round each time You got that James Dean daydream look in your eye And I got that red lip classic thing that you like And when we go crashing down, we come back every time 'Cause we never go out of style, we never go out of style You got that long hair, slicked back, white t-shirt And I got that good girl faith and a tight little skirt And when we go crashing down, we come back every time 'Cause we never go out of style, we never go out of style So it goes He can't keep his wild eyes on the road (Mmm) Takes me home The lights are off, he's taking off his coat (Mmm, yeah) I say, ""I heard, oh That you've been out and about with some other girl"" Some other girl He says, ""What you heard is true, but I Can't stop thinking 'bout you and I"" I said, ""I've been there too a few times"" 'Cause you got that James Dean daydream look in your eye And I got that red lip classic thing that you like And when we go crashing down, we come back every time 'Cause we never go out of style, we never go out of style You got that long hair, slicked back, white t-shirt And I got that good girl faith and a tight little skirt (A tight little skirt) And when we go crashing down, we come back every time 'Cause we never go out of style (We never go, we never go) We never go out of style Take me home Just take me home Yeah, just take me home Oh-oh, whoa-oh, oh (Out of style) Oh, you got that James Dean daydream look in your eye And I got that red lip classic thing that you like And when we go crashing down (And when we go) We come back every time 'Cause we never go out of style, we never go out of style"
