,album_name,track_title,track_n,lyric,line
132,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"I talked to your dad, go pick out a white dress",44
133,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"It's a love story, baby, just say, 'Yes'""",45
134,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"Oh, oh, oh",46
135,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,"Oh, oh, oh",47
136,Fearless (Taylor’s Version),Love Story (Taylor’s Version),3,'Cause we were both young when I first saw you,48
137,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Mmm-mm, mm-mm",1
138,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Mmm-mm, mm-mm",2
139,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Mmm-mm, mm-mm, yeah",3
140,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Hey Stephen, I know looks can be deceiving",4
141,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,But I know I saw a light in you,5
142,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,And as we walked we were talking,6
143,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,I didn't say half the things I wanted to,7
144,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Of all the girls tossing rocks at your window,8
145,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,I'll be the one waiting there even when it's cold,9
146,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Hey Stephen, boy, you might have me believing",10
147,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,I don't always have to be alone,11
148,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,'Cause I can't help it if you look like an angel,12
149,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Can't help it if I wanna kiss you in the rain so,13
150,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Come feel this magic I've been feeling since I met you,14
151,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Can't help it if there's no one else,15
152,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Mmm, I can't help myself",16
153,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Hey Stephen, I've been holding back this feeling",17
154,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,So I got some things to say to you,18
155,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"I've seen it all, so I thought",19
156,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,But I never seen nobody shine the way you do,20
157,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"The way you walk, way you talk, way you say my name",21
158,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"It's beautiful, wonderful, don't you ever change",22
159,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Hey Stephen, why are people always leaving?",23
160,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,I think you and I should stay the same,24
161,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,'Cause I can't help it if you look like an angel,25
162,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Can't help it if I wanna kiss you in the rain so,26
163,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Come feel this magic I've been feeling since I met you,27
164,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,Can't help it if there's no one else,28
165,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"Mmm, I can't help myself",29
166,Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,"They're dimming the street lights, you're perfect for me",30
