,album_name,track_title,track_n,lyric,line
175,Taylor Swift,Cold As You,5,You put up walls and paint them all a shade of gray,9
176,Taylor Swift,Cold As You,5,And I stood there loving you and wished them all away,10
177,Taylor Swift,Cold As You,5,And you come away with a great little story,11
178,Taylor Swift,Cold As You,5,Of a mess of a dreamer with the nerve to adore you,12
179,Taylor Swift,Cold As You,5,"Oh, what a shame, what a rainy ending given to a perfect day",13
180,Taylor Swift,Cold As You,5,"So just walk away, ain't no use defending words that you will never say",14
181,Taylor Swift,Cold As You,5,And now that I'm sitting here thinking it through,15
182,Taylor Swift,Cold As You,5,I've never been anywhere cold as you,16
183,Taylor Swift,Cold As You,5,"You never did give a damn thing, honey, but I cried, cried for you",17
184,Taylor Swift,Cold As You,5,"And I know you wouldn't have told nobody if I died, died for you, died for you",18
185,Taylor Swift,Cold As You,5,"Oh, what a shame, what a rainy ending given to a perfect day",19
186,Taylor Swift,Cold As You,5,Every smile you fake is so condescending counting all the scars you made,20
187,Taylor Swift,Cold As You,5,And now that I'm sitting here thinking it through,21
188,Taylor Swift,Cold As You,5,I've never been anywhere cold as you,22
189,Taylor Swift,The Outside,6,I didn't know what I would find,1
190,Taylor Swift,The Outside,6,When I went looking for a reason,2
191,Taylor Swift,The Outside,6,I know I didn't read between the lines,3
192,Taylor Swift,The Outside,6,"And, baby, I've got nowhere to go",4
193,Taylor Swift,The Outside,6,I tried to take the road less traveled by,5
194,Taylor Swift,The Outside,6,But nothing seems to work the first few times,6
195,Taylor Swift,The Outside,6,Am I right?,7
196,Taylor Swift,The Outside,6,So how can I ever try to be better?,8
197,Taylor Swift,The Outside,6,Nobody ever lets me in,9
198,Taylor Swift,The Outside,6,I can still see you,10
199,Taylor Swift,The Outside,6,This ain't the best view,11
200,Taylor Swift,The Outside,6,On the outside looking in,12
201,Taylor Swift,The Outside,6,And I've been a lot of lonely places,13
202,Taylor Swift,The Outside,6,I've never been on the outside,14
203,Taylor Swift,The Outside,6,"You saw me there, but never knew",15
204,Taylor Swift,The Outside,6,That I would give it all up to be,16
205,Taylor Swift,The Outside,6,"A part of this, a part of you",17
206,Taylor Swift,The Outside,6,And now it's all too late. So you see,18
207,Taylor Swift,The Outside,6,You could've helped if you had wanted to,19
208,Taylor Swift,The Outside,6,But no one notices until it's too late to do anything,20
209,Taylor Swift,The Outside,6,So how can I ever try to be better?,21
210,Taylor Swift,The Outside,6,Nobody ever lets me in,22
211,Taylor Swift,The Outside,6,I can still see you,23
212,Taylor Swift,The Outside,6,This ain't the best view,24
213,Taylor Swift,The Outside,6,On the outside looking in,25
214,Taylor Swift,The Outside,6,And I've been a lot of lonely places,26
215,Taylor Swift,The Outside,6,I've never been on the outside,27
216,Taylor Swift,The Outside,6,"Oh, yeah",28
217,Taylor Swift,The Outside,6,So how can I ever try to be better?,29
218,Taylor Swift,The Outside,6,Nobody ever lets me in,30
219,Taylor Swift,The Outside,6,And I can still see you,31
220,Taylor Swift,The Outside,6,This ain't the best view,32
221,Taylor Swift,The Outside,6,On the outside looking in,33
222,Taylor Swift,The Outside,6,And I've been a lot of lonely places,34
223,Taylor Swift,The Outside,6,I've never been on the outside,35
224,Taylor Swift,Tied Together With A Smile,7,Seems the only one who doesn't see your beauty,1
225,Taylor Swift,Tied Together With A Smile,7,Is the face in the mirror looking back at you,2
226,Taylor Swift,Tied Together With A Smile,7,You walk around here thinking you're not pretty,3
227,Taylor Swift,Tied Together With A Smile,7,But that's not true 'cause I know you,4
228,Taylor Swift,Tied Together With A Smile,7,"Hold on, baby, you're losing it",5
229,Taylor Swift,Tied Together With A Smile,7,"The water's high, you're jumping into it",6
230,Taylor Swift,Tied Together With A Smile,7,And letting go,7
231,Taylor Swift,Tied Together With A Smile,7,And no one knows,8
232,Taylor Swift,Tied Together With A Smile,7,"That you cry, but you don't tell anyone",9
233,Taylor Swift,Tied Together With A Smile,7,That you might not be the golden one,10
234,Taylor Swift,Tied Together With A Smile,7,And you're tied together with a smile,11
235,Taylor Swift,Tied Together With A Smile,7,But you're coming undone,12
236,Taylor Swift,Tied Together With A Smile,7,I guess it's true that love was all you wanted,13
237,Taylor Swift,Tied Together With A Smile,7,'Cause you're giving it away like it's extra change,14
238,Taylor Swift,Tied Together With A Smile,7,Hoping it will end up in his pocket,15
239,Taylor Swift,Tied Together With A Smile,7,But he leaves you out like a penny in the rain,16
240,Taylor Swift,Tied Together With A Smile,7,"Oh, 'cause it's not his price to pay",17
241,Taylor Swift,Tied Together With A Smile,7,It's not his price to pay,18
242,Taylor Swift,Tied Together With A Smile,7,"Hold on, baby, you're losing it",19
243,Taylor Swift,Tied Together With A Smile,7,"The water's high, you're jumping into it",20
244,Taylor Swift,Tied Together With A Smile,7,And letting go,21
245,Taylor Swift,Tied Together With A Smile,7,And no one knows,22
246,Taylor Swift,Tied Together With A Smile,7,"That you cry, but you don't tell anyone",23
247,Taylor Swift,Tied Together With A Smile,7,That you might not be the golden one,24
248,Taylor Swift,Tied Together With A Smile,7,And you're tied together with a smile,25
249,Taylor Swift,Tied Together With A Smile,7,But you're coming undone,26
250,Taylor Swift,Tied Together With A Smile,7,"Hold on, baby, you're losing it",27
251,Taylor Swift,Tied Together With A Smile,7,"The water's high, you're jumping into it",28
252,Taylor Swift,Tied Together With A Smile,7,And letting go,29
253,Taylor Swift,Tied Together With A Smile,7,And no one knows,30
254,Taylor Swift,Tied Together With A Smile,7,"That you cry, but you don't tell anyone",31
255,Taylor Swift,Tied Together With A Smile,7,That you might not be the golden one,32
256,Taylor Swift,Tied Together With A Smile,7,And you're tied together with a smile,33
257,Taylor Swift,Tied Together With A Smile,7,But you're coming undone,34
258,Taylor Swift,Tied Together With A Smile,7,You're tied together with a smile,35
259,Taylor Swift,Tied Together With A Smile,7,But you're coming undone,36
260,Taylor Swift,Tied Together With A Smile,7,"Goodbye, baby",37
261,Taylor Swift,Tied Together With A Smile,7,"With a smile, baby, baby",38
262,Taylor Swift,Stay Beautiful,8,Cory's eyes are like a jungle,1
263,Taylor Swift,Stay Beautiful,8,"He smiles, it's like the radio",2
264,Taylor Swift,Stay Beautiful,8,He whispers songs into my window,3
265,Taylor Swift,Stay Beautiful,8,In words that nobody knows,4
266,Taylor Swift,Stay Beautiful,8,There's pretty girls on every corner,5
267,Taylor Swift,Stay Beautiful,8,That watch him as he's walking home,6
268,Taylor Swift,Stay Beautiful,8,"Saying, ""Does he know?""",7
269,Taylor Swift,Stay Beautiful,8,Will you ever know?,8
270,Taylor Swift,Stay Beautiful,8,You're beautiful,9
271,Taylor Swift,Stay Beautiful,8,Every little piece love,10
272,Taylor Swift,Stay Beautiful,8,And don't you know,11
273,Taylor Swift,Stay Beautiful,8,You're really gonna be someone,12
274,Taylor Swift,Stay Beautiful,8,Ask anyone,13
275,Taylor Swift,Stay Beautiful,8,And when you find everything you looked for,14
276,Taylor Swift,Stay Beautiful,8,I hope your life leads you back to my door,15
277,Taylor Swift,Stay Beautiful,8,"Oh, but if it don't",16
278,Taylor Swift,Stay Beautiful,8,Stay beautiful,17
279,Taylor Swift,Stay Beautiful,8,Cory finds another way to be,18
280,Taylor Swift,Stay Beautiful,8,The highlight of my day,19
281,Taylor Swift,Stay Beautiful,8,I'm taking pictures in my mind,20
282,Taylor Swift,Stay Beautiful,8,So I can save them for a rainy day,21
283,Taylor Swift,Stay Beautiful,8,It's hard to make a conversation,22
284,Taylor Swift,Stay Beautiful,8,When he's taking my breath away,23
285,Taylor Swift,Stay Beautiful,8,"I should say, hey, by the way",24
286,Taylor Swift,Stay Beautiful,8,You're beautiful,25
287,Taylor Swift,Stay Beautiful,8,Every little piece love,26
288,Taylor Swift,Stay Beautiful,8,And don't you know,27
289,Taylor Swift,Stay Beautiful,8,You're really gonna be someone,28
290,Taylor Swift,Stay Beautiful,8,Ask anyone,29
291,Taylor Swift,Stay Beautiful,8,And when you find everything you looked for,30
292,Taylor Swift,Stay Beautiful,8,I hope your life leads you back to my door,31
293,Taylor Swift,Stay Beautiful,8,"Oh, but if it don't",32
294,Taylor Swift,Stay Beautiful,8,Stay beautiful,33
295,Taylor Swift,Stay Beautiful,8,If you and I are a story,34
296,Taylor Swift,Stay Beautiful,8,That never gets told,35
297,Taylor Swift,Stay Beautiful,8,If what you are is a daydream,36
298,Taylor Swift,Stay Beautiful,8,I'll never get to hold,37
299,Taylor Swift,Stay Beautiful,8,At least you'll know,38
300,Taylor Swift,Stay Beautiful,8,You're beautiful,39
301,Taylor Swift,Stay Beautiful,8,Every little piece love,40
302,Taylor Swift,Stay Beautiful,8,And don't you know,41
303,Taylor Swift,Stay Beautiful,8,You're really gonna be someone,42
