album_name,track_title,track_n,lyric,line
Midnights (3am Edition),You’re On Your Own, Kid,4,I search the party of better bodies,14
Midnights (3am Edition),You’re On Your Own, Kid,4,Just to learn that you never cared,15
Midnights (3am Edition),You’re On Your Own, Kid,4,You're on your own, kid,16
Midnights (3am Edition),You’re On Your Own, Kid,4,You always have been,17
Midnights (3am Edition),You’re On Your Own, Kid,4,I see the great escape, so long, Daisy May,18
Midnights (3am Edition),You’re On Your Own, Kid,4,I picked the petals, he loves me not,19
Midnights (3am Edition),You’re On Your Own, Kid,4,Something different bloomed, writing in my room,20
Midnights (3am Edition),You’re On Your Own, Kid,4,I play my songs in the parking lot,21
Midnights (3am Edition),You’re On Your Own, Kid,4,I'll run away,22
Midnights (3am Edition),You’re On Your Own, Kid,4,From sprinkler splashes to fireplace ashes,23
Midnights (3am Edition),You’re On Your Own, Kid,4,I called a taxi to take me there,24
Midnights (3am Edition),You’re On Your Own, Kid,4,I search the party of better bodies,25
Midnights (3am Edition),You’re On Your Own, Kid,4,Just to learn that my dreams aren't rare,26
Midnights (3am Edition),You’re On Your Own, Kid,4,You're on your own, kid,27
Midnights (3am Edition),You’re On Your Own, Kid,4,You always have been,28
Midnights (3am Edition),You’re On Your Own, Kid,4,You might also like,29
Midnights (3am Edition),You’re On Your Own, Kid,4,From sprinkler splashes to fireplace ashes,30
Midnights (3am Edition),You’re On Your Own, Kid,4,I gave my blood, sweat, and tears for this,31
Midnights (3am Edition),You’re On Your Own, Kid,4,I hosted parties and starved my body,32
Midnights (3am Edition),You’re On Your Own, Kid,4,Like I'd be saved by a perfect kiss,33
Midnights (3am Edition),You’re On Your Own, Kid,4,The jokes weren't funny, I took the money,34
Midnights (3am Edition),You’re On Your Own, Kid,4,My friends from home don't know what to say,35
Midnights (3am Edition),You’re On Your Own, Kid,4,I looked around in a blood-soaked gown,36
Midnights (3am Edition),You’re On Your Own, Kid,4,And I saw something they can't take away,37
Midnights (3am Edition),You’re On Your Own, Kid,4,'Cause there were pages turned with the bridges burned,38
Midnights (3am Edition),You’re On Your Own, Kid,4,Everything you lose is a step you take,39
Midnights (3am Edition),You’re On Your Own, Kid,4,So, make the friendship bracelets, take the moment and taste it,40
Midnights (3am Edition),You’re On Your Own, Kid,4,You've got no reason to be afraid,41
Midnights (3am Edition),You’re On Your Own, Kid,4,You're on your own, kid,42
Midnights (3am Edition),You’re On Your Own, Kid,4,Yeah, you can face this,43
Midnights (3am Edition),You’re On Your Own, Kid,4,You're on your own, kid,44
Midnights (3am Edition),You’re On Your Own, Kid,4,You always have been,45
Midnights (3am Edition),Midnight Rain,5,Midnight Rain Lyrics,1
Midnights (3am Edition),Midnight Rain,5,Rain,2
Midnights (3am Edition),Midnight Rain,5,He wanted it comfortable, I wanted that pain,3
Midnights (3am Edition),Midnight Rain,5,He wanted a bride, I was making my own name,4
Midnights (3am Edition),Midnight Rain,5,Chasing that fame, he stayed the same,5
Midnights (3am Edition),Midnight Rain,5,All of me changed like midnight,6
Midnights (3am Edition),Midnight Rain,5,My town was a wasteland,7
Midnights (3am Edition),Midnight Rain,5,Full of cages, full of fences,8
